Prophesy One(STD),120-264(264),ぷろふぇしーわん/ぷろふぇさい,vox2（小野秀幸）,7.0,9.0,12.4,14.6
Glorious Crown(STD),225(225.5),ぐろりあすくらうん,xi,7.0,10.5,13.2,14.8
VERTeX(STD),237,ばーてっくす/うぇるてくす,Hiro「maimai」より,5.0,8.0,11.9,14.7
ジングルベル(DX),100,じんぐるべる,SEGA Sound Unit [H.],5.0,7.6,10.0,14.6
忙シー日(DX),150,いそがしーひ/いそがしいひ,原口沙輔. 式部めぐり,3.0,7.9,11.8,14.2
有明/Ariake(DX),190,ありあけ,SIINCA,5.0,8.0,12.4,14.4
Deicide(DX),163,でぃーさいど/でいさいど,void (Mournfinale) feat. 古泉葉月,5.0,7.6,12.0,14.4
184億回のマルチトニック(DX),184,ひゃくはちじゅうよんかいのまるちとにっく,Pizuya's Cell feat.中村さん,5.0,8.0,11.7,14.1
RondeauX of RagnaroQ(DX),185,ろんどーおぶらぐなろく/ろんどくすらぐなろく,Morrigan feat.Lily and 結城碧,5.0,8.0,12.5,14.5
DEVOTION(DX),167,でぼーしょん,AJURIKA feat.SAK.,5.0,7.0,11.6,14.3
Bloody Trail(DX),195,ぶろーどりーとれいる,Hommarju,6.0,8.6,12.6,14.5
勦滅(DX),150-200(200),そうめつ,siqlo,5.0,7.6,11.8,14.2
QuiQ(DX),120-240(120),くいっく,owl＊tree feat.nie＊tree,6.0,8.7,12.9,14.4
The Great Banquet(DX),170,ざぐれいとばんけっと,Iris,4.0,8.0,11.0,14.2
Energizing Flame(DX),201,えなじゃいじんぐふれいむ/えなじゃいじんぐふれーむ,Artifact vs. Dualcast,6.0,8.0,12.8,14.4
Party☆People☆Princess(DX),152,ぱーてぃーぴーぽーぷりんせす,Sound Artz,5.0,7.6,11.6,14.3
Horoscope Express(DX),236,ほろすこーぷえくすぷれす,pan,5.0,8.0,11.5,14.0
地球(DX),79-280(79),ちきゅう,立秋 feat.ちょこ,6.0,9.0,12.8,14.3
”411Ψ892”(DX),184,よいびとさいはのくに/よいひとさいはてのくに,Tanchiky,5.0,8.6,12.7,14.3
Beat Opera op.1(DX),145,びーとおぺらおーぴーいち,bermei.inazawa,3.0,7.6,10.6,14.0
VSpook!(DX),155-180(155),ばーさすぷーく,s-don,6.0,8.0,12.9,14.4
#狂った民族２ PRAVARGYAZOOQA(DX),170,くるったみんぞくつー,DJ Raisei,6.0,7.6,12.7,14.4
